action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,319,5,,,,,White,,,,,2,Female,0,2014,0028.13,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,20,Anchorage Municipality,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000003130,0000532,2,AK,Alaska,84900,517,1761,1614,10.5,4579,,189.9600067138672
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,135,5,,,,,White,,,,,2,Female,0,2014,0006.03,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,170,Matanuska-Susitna Borough,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000368,2,AK,Alaska,84900,233,1781,1446,19.200000762939453,6131,,99.62999725341797
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,154,5,,,,,White,,,,,2,Female,0,2014,0027.02,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",0000002285,0000844,2,AK,Alaska,84900,278,3554,2926,26.829999923706055,9670,,111.62999725341797
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,84,1,,,,,American Indian or Alaska Native,,,,,1,Male,0,2014,0018.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000352,2,AK,Alaska,84900,275,1172,751,39.38999938964844,4907,,95.7699966430664
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,88,5,,,,,White,,,,,1,Male,0,2014,0011.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,170,Matanuska-Susitna Borough,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000567,2,AK,Alaska,84900,295,1754,1593,16.6299991607666,5364,,111.2300033569336
6,Loan purchased by the institution,1,OCC,Office of the Comptroller of the Currency,4,Not applicable,,7,,,,,Not applicable,,,,,4,Not applicable,2,2014,0007.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,11260,Anchorage - AK,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000004742,0000979,2,AK,Alaska,84900,241,1726,1051,51.959999084472656,5949,,88.73999786376953
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,88,5,,,,,White,,,,,1,Male,0,2014,0027.11,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,1,Preapproval was requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000823,2,AK,Alaska,84900,288,2230,2049,27.579999923706055,6589,,123.83000183105469
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,281,5,,,,,White,,,,,1,Male,0,2014,0028.12,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000847,2,AK,Alaska,84900,293,2331,1998,18.690000534057617,7166,,173.4600067138672
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,190,5,,,,,White,,,,,2,Female,0,2014,0010.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0000860,2,AK,Alaska,84900,196,926,458,46.209999084472656,4131,,72.62999725341797
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,148,5,,,,,White,,,,,1,Male,0,2014,0008.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,170,Matanuska-Susitna Borough,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0001066,2,AK,Alaska,84900,180,1844,867,20.389999389648438,4895,,67.66000366210938
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,,5,,,,,White,,,,,1,Male,0,2014,0028.12,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,20,Anchorage Municipality,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000005466,0000023,2,AK,Alaska,84900,50,2331,1998,18.690000534057617,7166,,173.4600067138672
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,94,5,,,,,White,,,,,1,Male,0,2014,0028.21,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,20,Anchorage Municipality,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000003130,0001115,2,AK,Alaska,84900,368,1720,1619,18.219999313354492,5050,,179.00999450683594
1,Loan originated,5,NCUA,National Credit Union Administration,3,"Information not provided by applicant in mail, Internet, or telephone application",187,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2014,0002.04,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,20,Anchorage Municipality,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,11260,Anchorage - AK,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000002285,0001161,2,AK,Alaska,84900,480,1168,920,17.06999969482422,3381,,155.1300048828125
