action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,122,5,,,,,White,,,,,2,Female,0,2011,1342.04,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,35,Cuyahoga County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045664,39,OH,Ohio,62800,146,1459,1149,8.529999732971191,4546,,119.80999755859375
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,88,5,,,,,White,,,,,2,Female,2,2011,0214.01,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,89,DeKalb County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,2,FHA-insured,12060,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000852218,0411062,13,GA,Georgia,68300,114,2273,1167,67.37999725341797,12725,,80.45999908447266
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,38,3,,,,,Black or African American,,,,,2,Female,0,2011,1408.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,35,Cuyahoga County,3,,,Credit history,,,,,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045670,39,OH,Ohio,62800,2,830,753,36.93000030517578,3748,,90.91999816894531
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,102,3,,,,,Black or African American,,,,,1,Male,0,2011,1545.01,2,Not Hispanic or Latino,3,,,,,Black or African American,,,,,2,Female,35,Cuyahoga County,4,,,Collateral,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045766,39,OH,Ohio,62800,120,1564,1295,4.440000057220459,3874,,102.80000305175781
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,95,4,,,,,Native Hawaiian or Other Pacific Islander,,,,,1,Male,0,2011,1024.01,1,Hispanic or Latino,4,,,,,Native Hawaiian or Other Pacific Islander,,,,,2,Female,35,Cuyahoga County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045750,39,OH,Ohio,62800,84,879,557,35.869998931884766,2367,,55.810001373291016
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",190,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",2,2011,0507.17,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,3,"Information not provided by applicant in mail, Internet, or telephone application",135,Gwinnett County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,12060,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000852218,0411755,13,GA,Georgia,68300,233,2695,2445,27.239999771118164,8441,,129.1300048828125
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,53,5,,,,,White,,,,,1,Male,0,2011,0017.02,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,101,Racine County,,,,,,,6,Quality edit failure only,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,39540,Racine - WI,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000817824,0099083,55,WI,Wisconsin,68700,58,1400,1082,23.25,5449,,100.48999786376953
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,70,5,,,,,White,,,,,1,Male,0,2011,1861.07,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,35,Cuyahoga County,3,,,Credit history,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045718,39,OH,Ohio,62800,85,2148,2047,4.820000171661377,6103,,148.75999450683594
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,43,5,,,,,White,,,,,1,Male,0,2011,4083.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Medina County,1,6,,Debt-to-income ratio,Unverifiable information,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,17460,"Cleveland, Elyria, Mentor - OH",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000723112,0045815,39,OH,Ohio,62800,130,2362,2108,3.119999885559082,7572,,132.92999267578125
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,90,5,,,,,White,,,,,1,Male,2,2011,0114.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,121,Fulton County,,,,,,,,,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,12060,"Atlanta, Sandy Springs, Marietta - GA",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000852218,0411228,13,GA,Georgia,68300,238,3217,3075,11.59000015258789,8697,,155.8699951171875
