action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,72,5,,,,,White,,,,,1,Male,0,2010,0129.03,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,13,Boulder County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,14500,Boulder - CO,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000000008,0131701,8,CO,Colorado,89600,417,617,548,8.729999542236328,1557,,176.27999877929688
3,Application denied by financial institution,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,49,5,,,,,White,,,,,2,Female,0,2010,2258.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,99,Macomb County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000060143,0002706,26,MI,Michigan,79600,97,1522,1397,3.950000047683716,4908,,97.79000091552734
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,78,5,,,,,White,,,,,2,Female,0,2010,2252.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,99,Macomb County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),5,Private securitization,0000060143,0002712,26,MI,Michigan,79600,229,1376,1319,4.349999904632568,3886,,117.93000030517578
3,Application denied by financial institution,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,65,5,,,,,White,,,,,1,Male,0,2010,2404.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,99,Macomb County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000060143,0002747,26,MI,Michigan,79600,120,1873,1845,4.489999771118164,5411,,107.41000366210938
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,35,5,,,,,White,,,,,1,Male,0,2010,7424.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,93,Livingston County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),5,Private securitization,0000060143,0002683,26,MI,Michigan,79600,119,1146,736,4.840000152587891,2871,,83.58000183105469
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,391,3,,,,,Black or African American,,,,,2,Female,0,2010,1580.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,125,Oakland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),5,Private securitization,0000060143,0002722,26,MI,Michigan,79600,250,1406,1342,9.760000228881836,3945,,162.75
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,142,5,,,,,White,,,,,1,Male,0,2010,0132.08,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,13,Boulder County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,14500,Boulder - CO,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000000008,0131670,8,CO,Colorado,89600,279,2010,1716,11.130000114440918,5893,,102.87999725341797
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,35,5,,,,,White,,,,,2,Female,0,2010,2330.00,2,Not Hispanic or Latino,5,,,,,White,,,,,1,Male,99,Macomb County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),5,Private securitization,0000060143,0002721,26,MI,Michigan,79600,141,1838,1758,4.210000038146973,5935,,127.87999725341797
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,42,5,,,,,White,,,,,2,Female,0,2010,0132.07,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,13,Boulder County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,14500,Boulder - CO,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,0000000008,0131702,8,CO,Colorado,89600,278,1287,1094,11.210000038146973,4605,,119.06999969482422
1,Loan originated,2,FRS,Federal Reserve System,2,Not Hispanic or Latino,350,5,,,,,White,,,,,1,Male,0,2010,1520.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,125,Oakland County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,47644,"Warren, Troy, Farmington Hills - MI",1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),5,Private securitization,0000060143,0002687,26,MI,Michigan,79600,300,1529,1385,10.229999542236328,3940,,294.45001220703125
