action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_2,applicant_race_3,applicant_race_4,applicant_race_5,applicant_race_name_1,applicant_race_name_2,applicant_race_name_3,applicant_race_name_4,applicant_race_name_5,applicant_sex,applicant_sex_name,application_date_indicator,as_of_year,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_2,co_applicant_race_3,co_applicant_race_4,co_applicant_race_5,co_applicant_race_name_1,co_applicant_race_name_2,co_applicant_race_name_3,co_applicant_race_name_4,co_applicant_race_name_5,co_applicant_sex,co_applicant_sex_name,county_code,county_name,denial_reason_1,denial_reason_2,denial_reason_3,denial_reason_name_1,denial_reason_name_2,denial_reason_name_3,edit_status,edit_status_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,msamd,msamd_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,respondent_id,sequence_number,state_code,state_abbr,state_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,rate_spread,tract_to_msamd_income
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,38,5,,,,,White,,,,,1,Male,0,2012,0111.00,1,Hispanic or Latino,5,,,,,White,,,,,2,Female,23,Humboldt County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012263,6,CA,California,57900,115,1995,1086,21.520000457763672,4976,,85.22000122070312
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,166,5,,,,,White,,,,,1,Male,0,2012,0105.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,23,Humboldt County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012100,6,CA,California,57900,205,2384,1644,15.529999732971191,5281,,99.30000305175781
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,62,5,,,,,White,,,,,1,Male,0,2012,0105.02,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,23,Humboldt County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0011948,6,CA,California,57900,400,2384,1644,15.529999732971191,5281,,99.30000305175781
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,112,5,,,,,White,,,,,2,Female,0,2012,0011.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,109,Tuolumne County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0011845,6,CA,California,57900,165,1601,964,15.609999656677246,3883,,115.70999908447266
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,27,5,,,,,White,,,,,1,Male,0,2012,0001.01,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,51,Mono County,1,,,Debt-to-income ratio,,,,,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,0000146672,0016289,6,CA,California,57900,120,2506,1067,19.520000457763672,3463,,156.86000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,64,5,,,,,White,,,,,1,Male,0,2012,0003.03,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,5,Amador County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,,,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012509,6,CA,California,57900,83,2061,1427,19.989999771118164,5073,01.64,122.62000274658203
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,71,4,,,,,Native Hawaiian or Other Pacific Islander,,,,,1,Male,0,2012,0001.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,103,Tehama County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012128,6,CA,California,57900,60,2525,1306,17.200000762939453,4699,,92.75
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,82,4,5,,,,Native Hawaiian or Other Pacific Islander,White,,,,1,Male,0,2012,0004.00,2,Not Hispanic or Latino,5,,,,,White,,,,,2,Female,23,Humboldt County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012580,6,CA,California,57900,168,1704,1086,26.6200008392334,3873,,93.38999938964844
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,50,5,,,,,White,,,,,2,Female,0,2012,0007.00,5,No co-applicant,8,,,,,No co-applicant,,,,,5,No co-applicant,23,Humboldt County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000143662,0012232,6,CA,California,57900,40,2315,1329,17.540000915527344,5360,,118.37999725341797
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",172,6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,1,Male,0,2012,0003.00,3,"Information not provided by applicant in mail, Internet, or telephone application",6,,,,,"Information not provided by applicant in mail, Internet, or telephone application",,,,,2,Female,27,Inyo County,,,,,,,,,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,,,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),0000146672,0017205,6,CA,California,57900,330,1166,960,14.079999923706055,2457,,141.9199981689453
